run,c8_over_f4_TeV4,c6_over_f2_TeV2,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run05,2.0,3.012121212121212,19.81135111804306,24.56548093663801,0.23996999448791545,6.86592686508319e-17,3.483805187070211e-17,-0.4925950631971959
run05,2.0,3.0161616161616163,19.81135111804306,24.19095670528232,0.22106546702160884,7.040748283913353e-17,3.668199412287648e-17,-0.4790043239198422
run05,2.0,3.0202020202020203,20.118070324728365,17.520087879747475,-0.12913676128209714,7.060800885788849e-17,7.263628152838348e-17,0.028725815998823255
run05,2.0,3.0242424242424244,18.918966775122765,20.42953815613841,0.0798442853127661,8.067503003697911e-17,5.402987284068423e-17,-0.3302776234986402
run05,2.0,3.0282828282828285,23.82214245372448,18.63052904790005,-0.21793226263797888,5.2508382442363225e-17,6.732428051634109e-17,0.28216253072051495
run05,2.0,3.0323232323232325,20.74582813044975,16.73091141130181,-0.1935288721135712,6.991856064294853e-17,8.472449745420191e-17,0.21175974841448045
run05,2.0,3.036363636363636,19.81135111804306,20.118070324728365,0.015481993371262905,7.906970675880915e-17,5.917794042300599e-17,-0.2515725320251933
run05,2.0,3.04040404040404,19.81135111804306,20.42953815613841,0.031203678861273624,7.929725392157109e-17,5.963639497781128e-17,-0.24793871125985487
run05,2.0,3.0444444444444443,21.39317428914348,17.252977398036524,-0.19352887211356973,7.066201548151766e-17,8.487518448941209e-17,0.20114298907327408
run05,2.0,3.0484848484848484,20.42953815613841,16.989939270866806,-0.16836400602811064,7.801106277186929e-17,8.928872851562334e-17,0.1445649545466872
run05,2.0,3.0525252525252524,17.520087879747475,23.45895112786603,0.33897451250707733,1.1056595118600358e-16,4.802747567250865e-17,-0.5656214670309064
run05,2.0,3.0565656565656565,16.47583267897981,15.49381854297249,-0.05960330838150556,1.2649930124286812e-16,1.1073797981823473e-16,-0.12459611452218983
run05,2.0,3.060606060606061,14.570335698348613,20.74582813044975,0.4238400926343145,1.668394491088429e-16,6.390374562380121e-17,-0.61697460663448
run05,2.0,3.0646464646464646,17.520087879747475,17.791333764165667,0.015481993371262817,1.1526200621100858e-16,8.876154718320107e-17,-0.22991495549100097
run05,2.0,3.0686868686868687,14.129445033049324,15.97728268112228,0.13077920921527994,1.8089923856954302e-16,1.1396809808092403e-16,-0.36999127811634586
run05,2.0,3.0727272727272728,16.47583267897981,17.791333764165667,0.079844285312766,1.3859902001634828e-16,9.379101822724487e-17,-0.32329234206575297
run05,2.0,3.076767676767677,16.989939270866806,16.47583267897981,-0.030259472014037822,1.3110950354081718e-16,1.1112640406568276e-16,-0.15241533935725152
run05,2.0,3.080808080808081,15.733693738950372,17.520087879747475,0.11353939961184713,1.5617054323875614e-16,1.0049756935540112e-16,-0.35648831545806464
run05,2.0,3.084848484848485,15.024983774380862,14.79591353904755,-0.0152459555879122,1.7605076050982094e-16,1.4088823041843966e-16,-0.19972949841031643
run05,2.0,3.088888888888889,14.348197007390617,18.06677907556844,0.2591672017231446,2.002296207398808e-16,9.804164497780651e-17,-0.5103539395643523
run05,2.0,3.092929292929293,15.733693738950372,19.81135111804306,0.25916720172314206,1.6914699764701374e-16,8.337578703906608e-17,-0.5070808929576169
run05,2.0,3.096969696969697,16.22464286568221,16.989939270866806,0.04716876738182781,1.646421923628623e-16,1.1477803708450762e-16,-0.302863771204266
run05,2.0,3.101010101010101,14.79591353904755,14.79591353904755,0.0,1.974990972698353e-16,1.556919069469979e-16,-0.211682943875525
run05,2.0,3.105050505050505,14.129445033049324,15.733693738950372,0.1135393996118494,2.2418063462019247e-16,1.421679528895052e-16,-0.36583303401577666
run05,2.0,3.109090909090909,16.47583267897981,13.49299699644052,-0.1810430914575171,1.668603195337308e-16,1.9774501379811287e-16,0.18509310272619206
