run,Lambda_GeV,C,observable,no_daisy,with_daisy,relative_difference
run03,1000.0,3.794848484848485,Tc_minus_Tn_over_Tc,0.3033623555937096,0.2992893052963916,-0.013426353739067825
run03,1000.0,3.796969696969697,Tc_minus_Tn_over_Tc,0.3083230208267133,0.3039457594472792,-0.014196998225099343
run03,1000.0,3.799090909090909,Tc_minus_Tn_over_Tc,0.3135693380348515,0.309391548486797,-0.01332333567509123
run03,1000.0,3.801212121212121,Tc_minus_Tn_over_Tc,0.318834807468739,0.3146734235190788,-0.013051849585363155
run03,1000.0,3.8033333333333337,Tc_minus_Tn_over_Tc,0.3244684330792267,0.3202156706637974,-0.013106860273186744
run03,1000.0,3.8054545454545456,Tc_minus_Tn_over_Tc,0.3300209361857431,0.325844284057762,-0.012655718683345474
run03,1000.0,3.8075757575757576,Tc_minus_Tn_over_Tc,0.3362353886305084,0.3318089147885494,-0.013164806536242604
run03,1000.0,3.8096969696969696,Tc_minus_Tn_over_Tc,0.3422313262230419,0.3377217648958002,-0.013176939051753314
run03,1000.0,3.811818181818182,Tc_minus_Tn_over_Tc,0.3485874756343866,0.344280354353485,-0.012355926652451213
run03,1000.0,3.813939393939394,Tc_minus_Tn_over_Tc,0.3555426222658129,0.3506905235384848,-0.0136470240794381
run03,1000.0,3.8160606060606064,Tc_minus_Tn_over_Tc,0.3626459754851956,0.3575082023744399,-0.014167462092697166
run03,1000.0,3.8181818181818175,Tc_minus_Tn_over_Tc,0.3701271021487258,0.3649258013179465,-0.01405274242438289
run03,1000.0,3.8203030303030303,Tc_minus_Tn_over_Tc,0.377565157877983,0.3725955910108083,-0.013162143708135026
run03,1000.0,3.8224242424242423,Tc_minus_Tn_over_Tc,0.3857284944234693,0.3803170823070307,-0.014029070174156501
run03,1000.0,3.824545454545455,Tc_minus_Tn_over_Tc,0.3946344110690378,0.3886995189155257,-0.015038962612091778
run03,1000.0,3.826666666666666,Tc_minus_Tn_over_Tc,0.4048685598250411,0.3977261907502067,-0.017641204537889737
run03,1000.0,3.828787878787879,Tc_minus_Tn_over_Tc,0.4156849556498518,0.4079044338391933,-0.018717352420164014
run03,1000.0,3.830909090909091,Tc_minus_Tn_over_Tc,0.4276297913173714,0.4192210704762364,-0.01966355247428102
run03,1000.0,3.833030303030303,Tc_minus_Tn_over_Tc,0.4412403299284137,0.4321871656670007,-0.020517535790261464
run03,1000.0,3.8393939393939394,Tc_minus_Tn_over_Tc,0.4952093862486731,0.4822717818478415,-0.02612552338483932
run03,2000.0,6.23,alpha,0.0214288190885408,0.0199993555663532,-0.06670752673216677
run03,2000.0,6.234242424242424,alpha,0.0216035874182288,0.0201730081035282,-0.0662195258132683
run03,2000.0,6.238484848484849,alpha,0.0217878360915859,0.0203389310688811,-0.06650063900858623
run03,2000.0,6.246969696969697,alpha,0.0221658964501128,0.0206948554427487,-0.06636505817280457
run03,2000.0,6.255454545454546,alpha,0.0225536039793135,0.021063449894087,-0.06607166138916384
run03,2000.0,6.25969696969697,alpha,0.0227486410281548,0.0212446550852352,-0.06611322149126175
