run,Lambda_GeV,C,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run03,1000.0,3.7206060606060607,13.49299699644052,13.914028141593606,0.031203678861275664,1.0021259290656285e-15,8.23644053846839e-16,-0.17810324036341832
run03,1000.0,3.7227272727272727,13.287283363484956,13.49299699644052,0.015481993371262673,1.0988718266143298e-15,9.123318237390688e-16,-0.16975592453762198
run03,1000.0,3.724848484848485,12.688769735470949,13.49299699644052,0.0633810272970267,1.2455941277837237e-15,9.409803531796038e-16,-0.24455299508044162
run03,1000.0,3.726969696969697,12.495317315618712,11.750555064331126,-0.05960330838150538,1.3212215257324149e-15,1.2773237889602852e-15,-0.03322511472691539
run03,1000.0,3.729090909090909,9.33200535103738,12.117215611000251,0.2984578507183622,2.465840913163975e-15,1.2454054869171973e-15,-0.49493680623573155
run03,1000.0,3.7312121212121214,10.077112648825867,12.117215611000251,0.20244915714146414,2.195540013627243e-15,1.3063491640499393e-15,-0.40499869920761544
run03,1000.0,3.733333333333333,10.55243763123881,12.30481426276792,0.16606368052263848,2.0585906819183867e-15,1.3091593889870993e-15,-0.36405065830420325
run03,1000.0,3.735454545454546,10.077112648825867,13.701895486497882,0.35970450703400203,2.3931797360974878e-15,1.1077433838189318e-15,-0.5371248690140977
run03,1000.0,3.7375757575757578,11.39498947221261,11.750555064331126,0.031203678861273648,1.9236681005510567e-15,1.5578430965314182e-15,-0.19017054132926767
run03,1000.0,3.7396969696969697,11.22126196879453,11.39498947221261,0.015481993371262784,2.092582468950685e-15,1.6964622024836694e-15,-0.18929732631548238
run03,1000.0,3.741818181818182,9.04962379628282,11.050183107177936,0.2210654670216078,3.268486254527977e-15,1.9183816375074002e-15,-0.4130672463897371
run03,1000.0,3.743939393939394,10.55243763123881,9.923477436927469,-0.05960330838150656,2.559340453927825e-15,2.4435859192037308e-15,-0.045228267519643796
run03,1000.0,3.746060606060606,11.050183107177936,8.91165363379737,-0.19352887211356967,2.373540089485683e-15,3.161130919680105e-15,0.33182116185157134
run03,1000.0,3.7503030303030314,9.623198249142844,8.510236278416366,-0.11565406239298986,3.4877692800105404e-15,3.818675113853049e-15,0.09487606755958031
run03,1000.0,3.7524242424242416,9.47648339602273,9.47648339602273,0.0,3.75654288195512e-15,3.228814082622337e-15,-0.14048257025569288
run03,1000.0,3.754545454545455,7.411251927676268,7.411251927676268,0.0,6.441479367327467e-15,5.453962009431631e-15,-0.15330598789227382
run03,1000.0,3.756666666666667,9.189730011909294,10.23312644005646,0.11353939961184835,4.280840042674831e-15,3.042740153376302e-15,-0.2892189095962851
run03,1000.0,3.758787878787879,8.00299804111444,7.760831545860945,-0.030259472014036875,5.943901990919292e-15,5.513111294594456e-15,-0.07247607665519551
run03,1000.0,3.760909090909091,6.969516793537952,9.33200535103738,0.3389745125070789,8.330949358149929e-15,3.99145447687241e-15,-0.5208883999555604
run03,1000.0,3.763030303030303,7.525992880893312,8.380489594072982,0.11353939961184817,7.434427794607368e-15,5.232704270360485e-15,-0.2961523852372235
run03,1000.0,3.765151515151515,7.760831545860945,8.380489594072982,0.07984428531276604,7.446797790215283e-15,5.437892649340693e-15,-0.26976765013200577
run03,1000.0,3.767272727272728,7.411251927676268,8.510236278416366,0.14828592543671293,8.582839382894256e-15,5.4760464595283095e-15,-0.3619772880240352
run03,1000.0,3.76939393939394,5.707733927270761,8.641991700066688,0.5140845404121679,1.4990810562850032e-14,5.673807730979328e-15,-0.6215142798855681
run03,1000.0,3.773636363636364,7.0774188063364125,6.258886570127066,-0.1156540623929892,1.083770843409846e-14,1.2081083098034611e-14,0.1147267128929348
run03,1000.0,3.775757575757576,6.258886570127066,5.885836223762919,-0.05960330838150558,1.451921042800095e-14,1.4318445131807965e-14,-0.013827562951067941
run03,1000.0,3.777878787878788,6.355786610517259,6.969516793537952,0.09656242737997545,1.5128812466003235e-14,1.0938043115490772e-14,-0.2770058363754435
